180111 |['物理2班', '地理1班', '化学3班']|
180112 |['物理2班', '地理1班', '化学3班']|
180113 |['物理2班', '地理1班', '化学3班']|
180114 |['物理2班', '地理1班', '化学3班']|
180115 |['物理2班', '地理1班', '化学3班']|
180116 |['物理3班', '化学1班', '地理2班']|
180117 |['物理3班', '化学1班', '地理2班']|
180118 |['物理3班', '化学1班', '地理2班']|
180119 |['物理3班', '化学1班', '地理2班']|
180120 |['物理3班', '化学1班', '地理2班']|
180121 |['物理3班', '化学1班', '地理2班']|
180122 |['物理3班', '化学1班', '地理2班']|
180123 |['物理3班', '化学1班', '地理2班']|
180124 |['物理3班', '化学1班', '地理2班']|
180125 |['物理3班', '化学1班', '地理2班']|
180126 |['物理3班', '化学1班', '地理2班']|
180127 |['物理3班', '化学1班', '地理2班']|
180128 |['物理3班', '化学2班', '地理1班']|
180129 |['物理3班', '化学2班', '地理1班']|
180201 |['政治1班', '历史2班', '地理2班']|
180202 |['生物1班', '政治1班', '历史2班']|
180203 |['生物1班', '政治1班', '历史2班']|
180204 |['化学2班', '政治1班', '历史2班']|
180205 |['物理3班', '历史1班', '政治2班']|
180206 |['物理3班', '历史1班', '政治2班']|
180207 |['化学2班', '生物2班', '政治1班']|
180208 |['物理3班', '生物1班', '地理1班']|
180209 |['生物1班', '地理1班', '历史2班']|
180210 |['化学2班', '生物2班', '政治1班']|
180211 |['物理3班', '历史1班', '政治2班']|
180212 |['生物1班', '政治1班', '历史2班']|
180213 |['物理3班', '历史1班', '政治2班']|
180214 |['生物2班', '历史1班', '政治2班']|
180215 |['政治1班', '历史2班', '地理2班']|
180216 |['生物2班', '历史1班', '政治2班']|
180217 |['生物2班', '历史1班', '政治2班']|
180218 |['生物2班', '历史1班', '政治2班']|
180219 |['生物2班', '历史1班', '政治2班']|
180220 |['化学2班', '生物2班', '政治1班']|
180221 |['生物2班', '历史1班', '政治2班']|
180223 |['化学2班', '生物2班', '历史1班']|
